test result name	overall	both	lemma	feats	neither
test_1	0.7765	0.8197	0.7286	0.8424	0.7108
test_2	0.8230	0.8852	0.7714	0.8765	0.7688
test_3	0.8425	0.8525	0.7714	0.9095	0.7796
test_4	0.8765	0.9344	0.8143	0.9340	0.8194
test_5	0.9015	0.9508	0.8714	0.9499	0.8516
test_6	0.9010	0.9508	0.8571	0.9542	0.8473
test_7	0.9000	0.9508	0.8714	0.9521	0.8462
test_8	0.9030	0.9508	0.8857	0.9574	0.8462
test_9	0.9015	0.9344	0.8571	0.9553	0.8484
test_10	0.9025	0.9344	0.8714	0.9553	0.8495
test_11	0.8975	0.9344	0.8714	0.9521	0.8419
test_12	0.8915	0.9344	0.8429	0.9499	0.8333
test_13	0.9045	0.9508	0.9000	0.9521	0.8538
test_14	0.8935	0.9344	0.9000	0.9521	0.8312
test_15	0.8940	0.9344	0.8714	0.9510	0.8355
test_16	0.9015	0.9344	0.9000	0.9499	0.8505
test_17	0.8990	0.9344	0.8857	0.9468	0.8495
test_18	0.8945	0.9344	0.8714	0.9457	0.8419
test_19	0.8975	0.9344	0.8857	0.9489	0.8441
test_20	0.8965	0.9344	0.9000	0.9489	0.8409
test_21	0.8970	0.9344	0.8857	0.9468	0.8452
test_22	0.8990	0.9344	0.8857	0.9531	0.8430
test_23	0.8870	0.9180	0.8429	0.9446	0.8301
test_24	0.8935	0.9344	0.8857	0.9446	0.8398
test_25	0.8895	0.9344	0.8571	0.9436	0.8344
